Lines out:		Average voltage
203,205,2;152,3004,1:			0.974883581912
153,154,2;152,3004,1:			0.974977576122
152,3004,1;153,154,2:			0.974977576122
154,3008,1;152,3004,1:			0.975737466578
152,3004,1;154,3008,1:			0.975737466578
152,202,1;154,205,1:			0.975752896278
154,205,1;152,202,1:			0.975752896278
152,3004,1;153,154,1:			0.975816844446
153,154,1;152,3004,1:			0.975816844446
154,205,1;3001,3003,1:			0.976728450922
3001,3003,1;154,205,1:			0.976728450922
152,202,1;151,201,1:			0.977322526435
151,201,1;152,202,1:			0.977322526435
154,205,1;154,203,1:			0.981089924506
154,203,1;154,205,1:			0.981089924506
3001,3003,1;151,201,1:			0.981548806529
151,201,1;3001,3003,1:			0.981548806529
3005,3007,1;154,205,1:			0.985475283425
154,205,1;3005,3007,1:			0.985475283425
154,205,1;3003,3005,2:			0.986508806233
154,205,1;3003,3005,1:			0.986508806233
3003,3005,1;154,205,1:			0.986508806233
3003,3005,2;154,205,1:			0.986508806233
203,205,2;154,205,1:			0.98666545748
203,205,1;154,205,1:			0.98666545748
154,205,1;203,205,1:			0.98666545748
154,205,1;203,205,2:			0.98666545748
3001,3003,1;152,202,1:			0.986822426005
152,202,1;3001,3003,1:			0.986822426005
3002,3004,1;154,205,1:			0.987473472593
154,205,1;3002,3004,1:			0.987473472593
153,3006,1;154,205,1:			0.98796710217
154,205,1;153,3006,1:			0.98796710217
154,205,1;3005,3008,1:			0.98811794025
3005,3008,1;154,205,1:			0.98811794025
154,205,1;153,154,2:			0.988172724653
153,154,2;154,205,1:			0.988172724653
154,205,1;153,154,1:			0.988783833692
153,154,1;154,205,1:			0.988783833692
3005,3006,1;154,205,1:			0.989073936218
154,205,1;3005,3006,1:			0.989073936218
151,201,1;3005,3007,1:			0.989363752917
3005,3007,1;151,201,1:			0.989363752917
3003,3005,1;151,201,1:			0.989538921857
151,201,1;3003,3005,1:			0.989538921857
3003,3005,2;151,201,1:			0.989538921857
151,201,1;3003,3005,2:			0.989538921857
154,205,1;3007,3008,1:			0.990168860588
3007,3008,1;154,205,1:			0.990168860588
3002,3004,1;151,201,1:			0.99022820898
151,201,1;3002,3004,1:			0.99022820898
151,201,1;3005,3008,1:			0.991090036869
3005,3008,1;151,201,1:			0.991090036869
153,3006,1;151,201,1:			0.991438249264
151,201,1;153,3006,1:			0.991438249264
3005,3006,1;151,201,1:			0.991865210085
151,201,1;3005,3006,1:			0.991865210085
151,201,1;153,154,2:			0.991927341444
153,154,2;151,201,1:			0.991927341444
154,205,1;154,3008,1:			0.992015212394
154,3008,1;154,205,1:			0.992015212394
3007,3008,1;151,201,1:			0.992071458414
151,201,1;3007,3008,1:			0.992071458414
151,201,1;154,203,1:			0.992087816718
154,203,1;151,201,1:			0.992087816718
203,205,1;151,201,1:			0.992149647554
151,201,1;203,205,1:			0.992149647554
151,201,1;203,205,2:			0.992149647554
203,205,2;151,201,1:			0.992149647554
151,201,1;154,3008,1:			0.992564393943
154,3008,1;151,201,1:			0.992564393943
151,201,1;153,154,1:			0.992754291418
153,154,1;151,201,1:			0.992754291418
3003,3005,1;152,202,1:			0.994057589637
152,202,1;3003,3005,2:			0.994057589637
152,202,1;3003,3005,1:			0.994057589637
3003,3005,2;152,202,1:			0.994057589637
152,202,1;3005,3007,1:			0.99434032715
3005,3007,1;152,202,1:			0.99434032715
152,202,1;3002,3004,1:			0.994728469851
3002,3004,1;152,202,1:			0.994728469851
153,3006,1;3001,3003,1:			0.994938454629
3001,3003,1;153,3006,1:			0.994938454629
152,202,1;153,3006,1:			0.995417862853
153,3006,1;152,202,1:			0.995417862853
3005,3008,1;152,202,1:			0.995990099198
152,202,1;3005,3008,1:			0.995990099198
152,202,1;154,203,1:			0.996048121198
154,203,1;152,202,1:			0.996048121198
152,202,1;3005,3006,1:			0.996229532139
3005,3006,1;152,202,1:			0.996229532139
3001,3003,1;3005,3006,1:			0.996374086201
3005,3006,1;3001,3003,1:			0.996374086201
203,205,2;152,202,1:			0.996382823176
152,202,1;203,205,1:			0.996382823176
152,202,1;203,205,2:			0.996382823176
203,205,1;152,202,1:			0.996382823176
3007,3008,1;152,202,1:			0.996793622933
152,202,1;3007,3008,1:			0.996793622933
3001,3003,1;3003,3005,2:			0.997193727812
3003,3005,1;3001,3003,1:			0.997193727812
3001,3003,1;3003,3005,1:			0.997193727812
3003,3005,2;3001,3003,1:			0.997193727812
3001,3003,1;3005,3007,1:			0.99726029738
3005,3007,1;3001,3003,1:			0.99726029738
154,203,1;3001,3003,1:			0.997688718258
3001,3003,1;154,203,1:			0.997688718258
3007,3008,1;3001,3003,1:			0.997885793134
3001,3003,1;3007,3008,1:			0.997885793134
3005,3008,1;3001,3003,1:			0.997949777037
3001,3003,1;3005,3008,1:			0.997949777037
203,205,1;3001,3003,1:			0.997973690483
3001,3003,1;203,205,1:			0.997973690483
3001,3003,1;203,205,2:			0.997973690483
203,205,2;3001,3003,1:			0.997973690483
152,202,1;153,154,2:			0.998361271263
153,154,2;152,202,1:			0.998361271263
152,202,1;154,3008,1:			0.99872903102
154,3008,1;152,202,1:			0.99872903102
3003,3005,2;3003,3005,1:			0.998963711727
3003,3005,1;3003,3005,2:			0.998963711727
154,3008,1;3001,3003,1:			0.999125275246
3001,3003,1;154,3008,1:			0.999125275246
3001,3003,1;153,154,2:			0.999270697882
153,154,2;3001,3003,1:			0.999270697882
152,202,1;153,154,1:			0.999868464893
153,154,1;152,202,1:			0.999868464893
3001,3003,1;153,154,1:			1.00055846736
153,154,1;3001,3003,1:			1.00055846736
3002,3004,1;3003,3005,1:			1.00183236249
3002,3004,1;3003,3005,2:			1.00183236249
3003,3005,1;3002,3004,1:			1.00183236249
3003,3005,2;3002,3004,1:			1.00183236249
154,3008,1;3005,3007,1:			1.00215141466
3005,3007,1;154,3008,1:			1.00215141466
3003,3005,1;3005,3007,1:			1.00281431425
3003,3005,2;3005,3007,1:			1.00281431425
3005,3007,1;3003,3005,1:			1.00281431425
3005,3007,1;3003,3005,2:			1.00281431425
3003,3005,1;153,3006,1:			1.00319772208
153,3006,1;3003,3005,1:			1.00319772208
153,3006,1;3003,3005,2:			1.00319772208
3003,3005,2;153,3006,1:			1.00319772208
3005,3007,1;3002,3004,1:			1.00322760941
3002,3004,1;3005,3007,1:			1.00322760941
3002,3004,1;153,3006,1:			1.00420982859
153,3006,1;3002,3004,1:			1.00420982859
3005,3008,1;3003,3005,1:			1.0043240952
3003,3005,2;3005,3008,1:			1.0043240952
3003,3005,1;3005,3008,1:			1.0043240952
3005,3008,1;3003,3005,2:			1.0043240952
3003,3005,1;3005,3006,1:			1.00440568326
3003,3005,2;3005,3006,1:			1.00440568326
3005,3006,1;3003,3005,2:			1.00440568326
3005,3006,1;3003,3005,1:			1.00440568326
3005,3007,1;3005,3008,1:			1.00450334905
3005,3008,1;3005,3007,1:			1.00450334905
3005,3007,1;153,3006,1:			1.00453620646
153,3006,1;3005,3007,1:			1.00453620646
3005,3007,1;3005,3006,1:			1.00463255566
3005,3006,1;3005,3007,1:			1.00463255566
3003,3005,1;154,203,1:			1.00471426638
3003,3005,2;154,203,1:			1.00471426638
154,203,1;3003,3005,1:			1.00471426638
154,203,1;3003,3005,2:			1.00471426638
3005,3007,1;154,203,1:			1.00486720299
154,203,1;3005,3007,1:			1.00486720299
3002,3004,1;3005,3008,1:			1.00488260803
3005,3008,1;3002,3004,1:			1.00488260803
3003,3005,2;203,205,2:			1.00495309639
3003,3005,2;203,205,1:			1.00495309639
3003,3005,1;203,205,2:			1.00495309639
203,205,2;3003,3005,1:			1.00495309639
203,205,2;3003,3005,2:			1.00495309639
3003,3005,1;203,205,1:			1.00495309639
203,205,1;3003,3005,1:			1.00495309639
203,205,1;3003,3005,2:			1.00495309639
3007,3008,1;3003,3005,2:			1.00499449068
3003,3005,2;3007,3008,1:			1.00499449068
3007,3008,1;3003,3005,1:			1.00499449068
3003,3005,1;3007,3008,1:			1.00499449068
203,205,2;3005,3007,1:			1.00511467329
3005,3007,1;203,205,1:			1.00511467329
3005,3007,1;203,205,2:			1.00511467329
203,205,1;3005,3007,1:			1.00511467329
3002,3004,1;3005,3006,1:			1.0052398902
3005,3006,1;3002,3004,1:			1.0052398902
154,203,1;3002,3004,1:			1.00540505595
3002,3004,1;154,203,1:			1.00540505595
3002,3004,1;203,205,1:			1.00563378689
3002,3004,1;203,205,2:			1.00563378689
203,205,1;3002,3004,1:			1.00563378689
203,205,2;3002,3004,1:			1.00563378689
3005,3008,1;153,3006,1:			1.00570817113
153,3006,1;3005,3008,1:			1.00570817113
3002,3004,1;3007,3008,1:			1.00571318932
3007,3008,1;3002,3004,1:			1.00571318932
154,203,1;153,3006,1:			1.0058526262
153,3006,1;154,203,1:			1.0058526262
3007,3008,1;153,3006,1:			1.00597922178
153,3006,1;3007,3008,1:			1.00597922178
3005,3008,1;154,3008,1:			1.00598949565
154,3008,1;3005,3008,1:			1.00598949565
154,3008,1;3003,3005,2:			1.00601312782
154,3008,1;3003,3005,1:			1.00601312782
3003,3005,2;154,3008,1:			1.00601312782
3003,3005,1;154,3008,1:			1.00601312782
3003,3005,2;153,154,2:			1.00605648451
153,154,2;3003,3005,2:			1.00605648451
153,154,2;3003,3005,1:			1.00605648451
3003,3005,1;153,154,2:			1.00605648451
203,205,1;153,3006,1:			1.00613266153
203,205,2;153,3006,1:			1.00613266153
153,3006,1;203,205,2:			1.00613266153
153,3006,1;203,205,1:			1.00613266153
3005,3006,1;3005,3008,1:			1.00625444888
3005,3008,1;3005,3006,1:			1.00625444888
153,154,2;3005,3007,1:			1.00630257546
3005,3007,1;153,154,2:			1.00630257546
154,203,1;3005,3008,1:			1.00659205749
3005,3008,1;154,203,1:			1.00659205749
153,3006,1;153,154,2:			1.00661738968
153,154,2;153,3006,1:			1.00661738968
3002,3004,1;154,3008,1:			1.00679393109
154,3008,1;3002,3004,1:			1.00679393109
153,154,2;3002,3004,1:			1.0067979343
3002,3004,1;153,154,2:			1.0067979343
203,205,1;3005,3008,1:			1.00681201389
3005,3008,1;203,205,2:			1.00681201389
3005,3008,1;203,205,1:			1.00681201389
203,205,2;3005,3008,1:			1.00681201389
154,203,1;3005,3006,1:			1.00688128328
3005,3006,1;154,203,1:			1.00688128328
3007,3008,1;3005,3006,1:			1.00690555944
3005,3006,1;3007,3008,1:			1.00690555944
3005,3006,1;203,205,1:			1.0071235751
3005,3006,1;203,205,2:			1.0071235751
203,205,1;3005,3006,1:			1.0071235751
203,205,2;3005,3006,1:			1.0071235751
3003,3005,2;153,154,1:			1.00727140558
153,154,1;3003,3005,1:			1.00727140558
153,154,1;3003,3005,2:			1.00727140558
3003,3005,1;153,154,1:			1.00727140558
3007,3008,1;154,203,1:			1.00749662608
154,203,1;3007,3008,1:			1.00749662608
153,154,1;3005,3007,1:			1.0075747246
3005,3007,1;153,154,1:			1.0075747246
154,203,1;203,205,2:			1.00758524466
154,203,1;203,205,1:			1.00758524466
203,205,2;154,203,1:			1.00758524466
203,205,1;154,203,1:			1.00758524466
153,154,1;153,3006,1:			1.0076547944
153,3006,1;153,154,1:			1.0076547944
203,205,2;3007,3008,1:			1.00768036796
3007,3008,1;203,205,1:			1.00768036796
3007,3008,1;203,205,2:			1.00768036796
203,205,1;3007,3008,1:			1.00768036796
203,205,2;203,205,1:			1.00777252992
203,205,1;203,205,2:			1.00777252992
154,3008,1;3005,3006,1:			1.00783494276
3005,3006,1;154,3008,1:			1.00783494276
153,3006,1;154,3008,1:			1.00788616372
154,3008,1;153,3006,1:			1.00788616372
153,154,1;3002,3004,1:			1.00803465622
3002,3004,1;153,154,1:			1.00803465622
3005,3008,1;153,154,2:			1.0081293388
153,154,2;3005,3008,1:			1.0081293388
3007,3008,1;154,3008,1:			1.00828720366
154,3008,1;3007,3008,1:			1.00828720366
3005,3006,1;153,154,2:			1.00831204622
153,154,2;3005,3006,1:			1.00831204622
154,203,1;153,154,2:			1.00863833143
153,154,2;154,203,1:			1.00863833143
153,154,2;203,205,1:			1.00879951796
203,205,1;153,154,2:			1.00879951796
203,205,2;153,154,2:			1.00879951796
153,154,2;203,205,2:			1.00879951796
3005,3008,1;3007,3008,1:			1.00882845149
3007,3008,1;3005,3008,1:			1.00882845149
154,3008,1;203,205,1:			1.00902913057
154,3008,1;203,205,2:			1.00902913057
203,205,1;154,3008,1:			1.00902913057
203,205,2;154,3008,1:			1.00902913057
154,3008,1;154,203,1:			1.00905288405
154,203,1;154,3008,1:			1.00905288405
3007,3008,1;153,154,2:			1.00918835156
153,154,2;3007,3008,1:			1.00918835156
153,154,1;3005,3008,1:			1.00943093666
3005,3008,1;153,154,1:			1.00943093666
153,154,1;3005,3006,1:			1.00958696785
3005,3006,1;153,154,1:			1.00958696785
153,154,1;154,203,1:			1.00994140914
154,203,1;153,154,1:			1.00994140914
153,154,1;203,205,2:			1.01007932999
153,154,1;203,205,1:			1.01007932999
203,205,2;153,154,1:			1.01007932999
203,205,1;153,154,1:			1.01007932999
153,154,1;3007,3008,1:			1.0105418482
3007,3008,1;153,154,1:			1.0105418482
154,3008,1;153,154,2:			1.01217815818
153,154,2;154,3008,1:			1.01217815818
153,154,2;153,154,1:			1.0134228114
153,154,1;153,154,2:			1.0134228114
153,154,1;154,3008,1:			1.01406227366
154,3008,1;153,154,1:			1.01406227366
